transaction_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,days_since_last_payment
TXN_000045,CUST_03242,17395.38,WALLET,SUCCESS,,1,26
TXN_000046,CUST_01171,21766.67,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,26
TXN_000047,CUST_01144,3261.43,UPI,SUCCESS,,2,41
TXN_000048,CUST_04599,1732.02,NETBANKING,FAILED,BANK_TIMEOUT,2,11
TXN_000049,CUST_04789,14128.82,WALLET,SUCCESS,,1,51
TXN_000050,CUST_04781,23880.66,WALLET,SUCCESS,,1,56
TXN_000051,CUST_02966,20172.58,UPI,SUCCESS,,1,8
TXN_000052,CUST_01134,4212.78,WALLET,SUCCESS,,2,15
TXN_000053,CUST_00745,21287.07,CARD,SUCCESS,,1,16
TXN_000054,CUST_00899,5526.06,UPI,FAILED,NETWORK_ERROR,1,0
TXN_000055,CUST_01311,11959.98,WALLET,SUCCESS,,2,51
TXN_000056,CUST_04886,18884.31,CARD,SUCCESS,,1,27
TXN_000057,CUST_03153,15902.46,WALLET,SUCCESS,,2,51
TXN_000058,CUST_04882,364.34,WALLET,SUCCESS,,2,28
TXN_000059,CUST_04335,5921.56,NETBANKING,FAILED,NETWORK_ERROR,2,26
TXN_000060,CUST_04533,4654.94,CARD,SUCCESS,,1,19
TXN_000061,CUST_00939,13491.17,NETBANKING,SUCCESS,,2,37
TXN_000062,CUST_02787,10304.81,CARD,SUCCESS,,1,49
TXN_000063,CUST_02405,1796.54,WALLET,SUCCESS,,1,44
TXN_000064,CUST_01296,5402.19,WALLET,FAILED,LIMIT_EXCEEDED,2,5
TXN_000065,CUST_00027,12480.21,NETBANKING,SUCCESS,,2,41
TXN_000066,CUST_04101,7336.15,UPI,SUCCESS,,1,53
TXN_000067,CUST_04159,13907.59,CARD,FAILED,NETWORK_ERROR,1,35
TXN_000068,CUST_02445,11778.94,UPI,SUCCESS,,2,4
TXN_000069,CUST_01253,16324.95,NETBANKING,FAILED,BANK_TIMEOUT,2,51
TXN_000070,CUST_01324,5294.42,CARD,FAILED,LIMIT_EXCEEDED,2,38
TXN_000071,CUST_04907,3832.3,NETBANKING,SUCCESS,,1,45
TXN_000072,CUST_04003,9781.29,CARD,SUCCESS,,1,16
TXN_000073,CUST_00917,8380.29,NETBANKING,SUCCESS,,2,32
TXN_000074,CUST_02520,2349.54,UPI,FAILED,AUTHENTICATION_FAILED,1,3
TXN_000075,CUST_00475,7459.37,UPI,SUCCESS,,2,50
TXN_000076,CUST_04648,32416.61,CARD,FAILED,BANK_TIMEOUT,2,58
TXN_000077,CUST_00702,15023.86,WALLET,FAILED,NETWORK_ERROR,1,29
TXN_000078,CUST_00567,26441.27,UPI,SUCCESS,,2,11
TXN_000079,CUST_01052,29179.08,WALLET,SUCCESS,,2,44
TXN_000080,CUST_04504,18454.41,UPI,FAILED,CARD_EXPIRED,2,9
TXN_000081,CUST_02172,5008.24,WALLET,SUCCESS,,2,48
TXN_000082,CUST_01736,4251.25,UPI,SUCCESS,,1,54
TXN_000083,CUST_02554,21348.27,WALLET,SUCCESS,,1,55
TXN_000084,CUST_03060,1463.99,WALLET,SUCCESS,,2,47
TXN_000085,CUST_04240,11073.79,WALLET,SUCCESS,,1,22
TXN_000086,CUST_00992,13142.56,UPI,FAILED,BANK_TIMEOUT,1,53
TXN_000087,CUST_01841,13232.18,CARD,SUCCESS,,1,55
TXN_000088,CUST_02770,1762.68,CARD,SUCCESS,,1,26
TXN_000089,CUST_04820,8258.38,UPI,SUCCESS,,1,39
TXN_000090,CUST_04821,8778.21,UPI,FAILED,NETWORK_ERROR,1,35
TXN_000091,CUST_00059,29257.68,CARD,SUCCESS,,1,53
TXN_000092,CUST_00483,12097.09,UPI,SUCCESS,,1,6
TXN_000093,CUST_00553,3310.64,CARD,SUCCESS,,2,47
TXN_000094,CUST_02707,8122.33,CARD,SUCCESS,,1,29
TXN_000095,CUST_04212,20441.37,UPI,FAILED,CARD_EXPIRED,1,45
TXN_000096,CUST_02282,16155.32,WALLET,SUCCESS,,2,56
TXN_000097,CUST_01756,14286.12,UPI,SUCCESS,,2,58
TXN_000098,CUST_04678,15250.2,WALLET,FAILED,NETWORK_ERROR,1,47
TXN_000099,CUST_01991,17776.61,WALLET,SUCCESS,,1,15
TXN_000100,CUST_03335,5572.91,UPI,SUCCESS,,1,42
TXN_000101,CUST_00773,14820.0,CARD,FAILED,BANK_TIMEOUT,1,30
TXN_000102,CUST_03532,16540.37,NETBANKING,SUCCESS,,2,15
TXN_000103,CUST_03470,9808.22,WALLET,FAILED,FRAUD_SUSPECTED,2,22
TXN_000104,CUST_03826,14451.53,CARD,SUCCESS,,2,13
TXN_000105,CUST_00807,8287.34,CARD,FAILED,INSUFFICIENT_FUNDS,2,28
TXN_000106,CUST_03299,11243.91,NETBANKING,SUCCESS,,2,34
TXN_000107,CUST_00896,11413.6,UPI,SUCCESS,,2,29
TXN_000108,CUST_01570,11125.86,UPI,SUCCESS,,2,52
TXN_000109,CUST_04394,6003.99,WALLET,SUCCESS,,1,59
TXN_000110,CUST_01149,6671.94,WALLET,FAILED,LIMIT_EXCEEDED,2,15
TXN_000111,CUST_01504,12412.15,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,40
TXN_000112,CUST_03790,17899.07,UPI,SUCCESS,,2,14
TXN_000113,CUST_00618,14760.15,WALLET,SUCCESS,,2,25
TXN_000114,CUST_04509,20056.0,CARD,FAILED,BANK_TIMEOUT,1,19
TXN_000115,CUST_00415,20629.64,CARD,FAILED,AUTHENTICATION_FAILED,2,31
TXN_000116,CUST_00765,7571.98,UPI,FAILED,CARD_EXPIRED,1,37
TXN_000117,CUST_01363,11646.82,WALLET,SUCCESS,,2,55
TXN_000118,CUST_03979,21620.66,WALLET,SUCCESS,,1,41
TXN_000119,CUST_01752,37671.98,WALLET,FAILED,AUTHENTICATION_FAILED,1,58
TXN_000120,CUST_00481,11058.85,UPI,FAILED,INSUFFICIENT_FUNDS,2,20
TXN_000121,CUST_03105,5315.32,CARD,SUCCESS,,2,5
TXN_000122,CUST_03199,8030.8,NETBANKING,FAILED,NETWORK_ERROR,2,34
TXN_000123,CUST_03728,11758.08,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,30
TXN_000124,CUST_03466,38415.93,WALLET,FAILED,NETWORK_ERROR,1,5
TXN_000125,CUST_01269,22071.15,UPI,SUCCESS,,2,58
TXN_000126,CUST_02431,12709.13,UPI,SUCCESS,,2,44
TXN_000127,CUST_00480,100.0,CARD,FAILED,CARD_EXPIRED,1,51
TXN_000128,CUST_02570,3124.36,CARD,SUCCESS,,2,50
TXN_000129,CUST_00411,723.98,WALLET,SUCCESS,,1,1
TXN_000130,CUST_04120,10747.5,UPI,SUCCESS,,2,51
TXN_000131,CUST_00466,20832.26,CARD,SUCCESS,,2,30
TXN_000132,CUST_01523,16295.15,CARD,SUCCESS,,2,28
TXN_000133,CUST_04875,22389.0,CARD,SUCCESS,,2,27
TXN_000134,CUST_01927,8687.53,WALLET,SUCCESS,,1,26
TXN_000135,CUST_00983,14166.41,UPI,SUCCESS,,1,48
TXN_000136,CUST_04743,28428.68,CARD,SUCCESS,,1,39
TXN_000137,CUST_00672,9591.59,WALLET,SUCCESS,,1,24
TXN_000138,CUST_04782,8690.63,NETBANKING,SUCCESS,,1,11
TXN_000139,CUST_02137,548.95,UPI,SUCCESS,,2,53
TXN_000140,CUST_02574,4341.66,UPI,SUCCESS,,1,51
TXN_000141,CUST_02176,3951.13,WALLET,SUCCESS,,1,47
TXN_000142,CUST_01073,14607.48,NETBANKING,SUCCESS,,2,38
TXN_000143,CUST_03746,17696.67,NETBANKING,FAILED,CARD_EXPIRED,1,16
TXN_000144,CUST_00595,10189.71,CARD,SUCCESS,,2,38
TXN_000145,CUST_03755,8888.96,CARD,SUCCESS,,2,32
TXN_000146,CUST_00601,5340.37,UPI,SUCCESS,,1,7
TXN_000147,CUST_04145,8060.99,NETBANKING,SUCCESS,,2,56
TXN_000148,CUST_01086,17778.93,NETBANKING,SUCCESS,,1,30
TXN_000149,CUST_00564,23822.26,UPI,FAILED,BANK_TIMEOUT,2,41
TXN_000150,CUST_03028,27244.01,NETBANKING,SUCCESS,,1,48
TXN_000151,CUST_01293,2640.81,WALLET,SUCCESS,,2,58
TXN_000152,CUST_04451,18385.32,NETBANKING,SUCCESS,,2,42
TXN_000153,CUST_04334,17421.69,CARD,SUCCESS,,2,48
TXN_000154,CUST_04544,4699.08,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,27
TXN_000155,CUST_00849,3309.56,UPI,SUCCESS,,2,26
TXN_000156,CUST_02167,21971.3,CARD,SUCCESS,,1,18
TXN_000157,CUST_00877,10195.44,UPI,SUCCESS,,2,46
TXN_000158,CUST_02232,10023.69,NETBANKING,SUCCESS,,1,59
TXN_000159,CUST_04955,11308.01,UPI,SUCCESS,,1,26
TXN_000160,CUST_02809,4637.85,UPI,SUCCESS,,2,1
TXN_000161,CUST_02163,19558.64,WALLET,SUCCESS,,1,33
TXN_000162,CUST_02058,10531.04,CARD,FAILED,BANK_TIMEOUT,1,49
TXN_000163,CUST_00757,2757.11,WALLET,SUCCESS,,1,32
TXN_000164,CUST_02267,31949.93,CARD,SUCCESS,,1,58
TXN_000165,CUST_00030,17189.79,NETBANKING,SUCCESS,,1,56
TXN_000166,CUST_01072,2376.14,NETBANKING,FAILED,INSUFFICIENT_FUNDS,1,59
TXN_000167,CUST_01324,11603.83,WALLET,SUCCESS,,2,28
TXN_000168,CUST_04520,18807.27,WALLET,SUCCESS,,1,43
TXN_000169,CUST_04595,9857.99,CARD,SUCCESS,,2,14
TXN_000170,CUST_00917,8539.48,CARD,FAILED,FRAUD_SUSPECTED,1,40
TXN_000171,CUST_01222,16435.34,CARD,FAILED,NETWORK_ERROR,2,33
TXN_000172,CUST_03025,24318.68,UPI,SUCCESS,,2,22
TXN_000173,CUST_03521,20318.98,UPI,SUCCESS,,1,4
TXN_000174,CUST_00343,19835.42,NETBANKING,SUCCESS,,2,43
TXN_000175,CUST_02988,8502.42,CARD,SUCCESS,,1,15
TXN_000176,CUST_02932,5025.02,UPI,SUCCESS,,1,13
TXN_000177,CUST_02045,22832.35,CARD,SUCCESS,,1,30
TXN_000178,CUST_02898,7217.12,WALLET,SUCCESS,,2,26
TXN_000179,CUST_01267,3154.48,UPI,FAILED,INSUFFICIENT_FUNDS,1,18
TXN_000180,CUST_01332,7157.88,UPI,SUCCESS,,1,59
TXN_000181,CUST_03378,6112.86,CARD,SUCCESS,,2,49
TXN_000182,CUST_01470,1863.56,NETBANKING,SUCCESS,,1,34
TXN_000183,CUST_03373,4170.84,UPI,SUCCESS,,2,37
TXN_000184,CUST_02186,3173.85,UPI,SUCCESS,,2,27
TXN_000185,CUST_00886,4398.44,WALLET,SUCCESS,,1,45
TXN_000186,CUST_00318,17586.38,WALLET,SUCCESS,,2,9
TXN_000187,CUST_01823,3970.02,UPI,FAILED,INSUFFICIENT_FUNDS,2,51
TXN_000188,CUST_03771,21350.6,NETBANKING,FAILED,AUTHENTICATION_FAILED,1,49
TXN_000189,CUST_02501,6619.18,UPI,FAILED,NETWORK_ERROR,1,36
TXN_000190,CUST_01827,14337.44,CARD,FAILED,INSUFFICIENT_FUNDS,1,26
TXN_000191,CUST_01583,39694.35,WALLET,SUCCESS,,1,46
TXN_000192,CUST_02690,6779.08,NETBANKING,SUCCESS,,1,10
TXN_000193,CUST_00569,1091.17,NETBANKING,FAILED,BANK_TIMEOUT,1,56
TXN_000194,CUST_02877,28851.02,WALLET,SUCCESS,,1,22
TXN_000195,CUST_04393,29291.55,NETBANKING,SUCCESS,,1,30
TXN_000196,CUST_00227,1630.15,CARD,SUCCESS,,1,12
TXN_000197,CUST_02140,3666.78,UPI,FAILED,INSUFFICIENT_FUNDS,1,11
TXN_000198,CUST_04757,14411.82,NETBANKING,SUCCESS,,1,26
TXN_000199,CUST_00314,4994.32,CARD,SUCCESS,,1,9
TXN_000200,CUST_04888,19753.17,WALLET,SUCCESS,,2,26
TXN_000201,CUST_02832,3607.65,NETBANKING,FAILED,NETWORK_ERROR,1,43
TXN_000202,CUST_03575,8111.58,CARD,SUCCESS,,2,15
TXN_000203,CUST_03156,18145.56,UPI,SUCCESS,,1,4
TXN_000204,CUST_02087,15806.79,CARD,SUCCESS,,1,16
TXN_000205,CUST_03573,10823.96,CARD,SUCCESS,,2,42
TXN_000206,CUST_04260,5240.66,UPI,SUCCESS,,1,2
TXN_000207,CUST_02984,20843.53,WALLET,SUCCESS,,2,2
TXN_000208,CUST_00574,11652.94,NETBANKING,SUCCESS,,2,59
TXN_000209,CUST_02572,3918.59,CARD,SUCCESS,,2,16
TXN_000210,CUST_02461,6668.36,NETBANKING,SUCCESS,,1,43
TXN_000211,CUST_03346,19068.69,NETBANKING,FAILED,BANK_TIMEOUT,2,42
TXN_000212,CUST_03297,15132.81,NETBANKING,SUCCESS,,2,39
TXN_000213,CUST_04542,8331.66,UPI,SUCCESS,,1,49
TXN_000214,CUST_01572,18942.69,WALLET,SUCCESS,,1,11
TXN_000215,CUST_03106,14685.18,UPI,SUCCESS,,2,34
TXN_000216,CUST_04663,23248.39,NETBANKING,FAILED,NETWORK_ERROR,2,41
TXN_000217,CUST_03327,8043.04,CARD,SUCCESS,,2,42
TXN_000218,CUST_02490,12877.38,NETBANKING,FAILED,BANK_TIMEOUT,1,37
TXN_000219,CUST_01722,1318.83,WALLET,SUCCESS,,2,29
TXN_000220,CUST_04752,27006.87,NETBANKING,SUCCESS,,1,25
TXN_000221,CUST_03810,16355.2,WALLET,FAILED,AUTHENTICATION_FAILED,2,6
TXN_000222,CUST_03623,12094.53,UPI,FAILED,INSUFFICIENT_FUNDS,1,4
TXN_000223,CUST_04188,7183.14,WALLET,SUCCESS,,1,13
TXN_000224,CUST_01391,3231.77,CARD,SUCCESS,,1,36
TXN_000225,CUST_02325,9772.4,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,47
TXN_000226,CUST_00766,20030.68,UPI,SUCCESS,,1,43
TXN_000227,CUST_02543,11131.04,UPI,FAILED,AUTHENTICATION_FAILED,1,34
TXN_000228,CUST_01632,10466.11,UPI,FAILED,NETWORK_ERROR,2,38
TXN_000229,CUST_00201,31237.71,CARD,FAILED,BANK_TIMEOUT,2,25
TXN_000230,CUST_02006,17535.21,WALLET,SUCCESS,,1,51
TXN_000231,CUST_00597,13625.64,WALLET,SUCCESS,,1,50
TXN_000232,CUST_03396,38940.58,UPI,FAILED,NETWORK_ERROR,1,18
TXN_000233,CUST_03146,2416.55,WALLET,SUCCESS,,2,53
TXN_000234,CUST_03274,20347.0,UPI,SUCCESS,,2,9
TXN_000235,CUST_01209,8186.74,CARD,FAILED,NETWORK_ERROR,2,26
TXN_000236,CUST_00874,20209.73,WALLET,SUCCESS,,2,37
TXN_000237,CUST_01793,23848.16,UPI,SUCCESS,,2,23
TXN_000238,CUST_04244,1033.02,WALLET,SUCCESS,,1,4
TXN_000239,CUST_00412,20515.07,UPI,SUCCESS,,1,23
TXN_000240,CUST_00995,7680.61,WALLET,FAILED,NETWORK_ERROR,2,38
TXN_000241,CUST_01093,20563.78,WALLET,SUCCESS,,2,50
TXN_000242,CUST_04352,8455.15,NETBANKING,SUCCESS,,1,49
TXN_000243,CUST_03626,15918.92,WALLET,SUCCESS,,1,52
TXN_000244,CUST_04489,2539.83,WALLET,FAILED,INSUFFICIENT_FUNDS,2,59
TXN_000245,CUST_01304,21563.55,WALLET,SUCCESS,,1,28
TXN_000246,CUST_03687,20081.06,NETBANKING,FAILED,BANK_TIMEOUT,1,21
TXN_000247,CUST_02026,34150.28,NETBANKING,SUCCESS,,1,37
TXN_000248,CUST_04271,4903.86,WALLET,FAILED,CARD_EXPIRED,2,11
TXN_000249,CUST_01960,9137.31,NETBANKING,SUCCESS,,1,56
TXN_000250,CUST_03604,18625.69,CARD,SUCCESS,,1,0
TXN_000251,CUST_02341,8682.75,UPI,FAILED,LIMIT_EXCEEDED,2,17
TXN_000252,CUST_02226,8059.93,NETBANKING,FAILED,NETWORK_ERROR,2,0
TXN_000253,CUST_02620,5924.5,CARD,SUCCESS,,2,45
TXN_000254,CUST_01134,7659.82,UPI,FAILED,BANK_TIMEOUT,1,35
TXN_000255,CUST_01895,21831.22,WALLET,SUCCESS,,2,13
TXN_000256,CUST_01252,3967.5,UPI,SUCCESS,,1,4
TXN_000257,CUST_00527,3696.59,WALLET,SUCCESS,,2,20
TXN_000258,CUST_03340,5153.1,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,24
TXN_000259,CUST_04446,1629.75,WALLET,FAILED,AUTHENTICATION_FAILED,1,23
TXN_000260,CUST_03407,22462.92,CARD,SUCCESS,,2,38
TXN_000261,CUST_01695,1600.51,WALLET,SUCCESS,,1,0
TXN_000262,CUST_03191,5030.55,CARD,FAILED,NETWORK_ERROR,2,11
TXN_000263,CUST_04717,28791.53,WALLET,SUCCESS,,2,11
TXN_000264,CUST_03908,29456.74,CARD,SUCCESS,,1,18
TXN_000265,CUST_02882,1130.1,NETBANKING,SUCCESS,,1,21
TXN_000266,CUST_03195,24274.44,WALLET,SUCCESS,,1,47
TXN_000267,CUST_04410,1334.33,UPI,FAILED,INSUFFICIENT_FUNDS,1,19
TXN_000268,CUST_04000,8078.98,UPI,SUCCESS,,2,12
TXN_000269,CUST_02236,11284.32,WALLET,SUCCESS,,1,16
TXN_000270,CUST_03979,14954.47,CARD,SUCCESS,,1,22
TXN_000271,CUST_03186,12516.75,NETBANKING,SUCCESS,,1,53
TXN_000272,CUST_03313,1710.8,UPI,SUCCESS,,2,33
TXN_000273,CUST_03829,5110.28,UPI,SUCCESS,,2,15
TXN_000274,CUST_04376,20268.56,CARD,SUCCESS,,2,16
TXN_000275,CUST_03228,17762.14,CARD,SUCCESS,,2,0
TXN_000276,CUST_00688,13017.11,WALLET,FAILED,LIMIT_EXCEEDED,2,18
TXN_000277,CUST_01112,9764.78,WALLET,SUCCESS,,1,26
TXN_000278,CUST_01489,8332.88,CARD,SUCCESS,,2,2
TXN_000279,CUST_02132,14185.31,WALLET,SUCCESS,,1,31
TXN_000280,CUST_02682,9236.62,UPI,SUCCESS,,2,24
TXN_000281,CUST_03725,18435.95,NETBANKING,SUCCESS,,1,53
TXN_000282,CUST_02765,13788.21,WALLET,SUCCESS,,1,51
TXN_000283,CUST_02280,27017.01,WALLET,SUCCESS,,2,22
TXN_000284,CUST_02067,852.75,CARD,SUCCESS,,2,15
TXN_000285,CUST_03853,33276.96,CARD,SUCCESS,,1,21
TXN_000286,CUST_04419,22291.63,CARD,SUCCESS,,2,32
TXN_000287,CUST_02867,9987.84,UPI,SUCCESS,,1,52
TXN_000288,CUST_00563,12191.17,CARD,SUCCESS,,1,41
TXN_000289,CUST_00255,7082.93,UPI,SUCCESS,,1,9
TXN_000290,CUST_01634,5094.86,CARD,FAILED,CARD_EXPIRED,2,2
TXN_000291,CUST_01249,18079.36,UPI,SUCCESS,,2,14
TXN_000292,CUST_01035,15356.09,WALLET,SUCCESS,,1,37
TXN_000293,CUST_00938,7586.96,UPI,SUCCESS,,2,49
TXN_000294,CUST_03810,12930.23,NETBANKING,SUCCESS,,2,48
TXN_000295,CUST_03022,25967.41,UPI,SUCCESS,,2,37
TXN_000296,CUST_04964,39190.11,CARD,SUCCESS,,1,46
TXN_000297,CUST_01342,11367.94,NETBANKING,SUCCESS,,1,37
TXN_000298,CUST_00886,4075.65,CARD,SUCCESS,,2,4
TXN_000299,CUST_02556,2045.5,WALLET,SUCCESS,,1,57
TXN_000300,CUST_03250,3660.44,UPI,SUCCESS,,1,58
TXN_000301,CUST_00623,6285.48,UPI,FAILED,AUTHENTICATION_FAILED,2,1
TXN_000302,CUST_00835,7754.92,NETBANKING,FAILED,BANK_TIMEOUT,1,10
TXN_000303,CUST_04919,13962.82,CARD,FAILED,BANK_TIMEOUT,1,47
TXN_000304,CUST_04637,1455.58,CARD,FAILED,NETWORK_ERROR,1,31
TXN_000305,CUST_02845,24882.03,WALLET,SUCCESS,,1,59
TXN_000306,CUST_03036,1757.55,CARD,SUCCESS,,2,30
TXN_000307,CUST_04145,11704.16,NETBANKING,FAILED,LIMIT_EXCEEDED,2,17
TXN_000308,CUST_00104,17640.86,WALLET,FAILED,INSUFFICIENT_FUNDS,1,15
TXN_000309,CUST_04016,2051.61,CARD,SUCCESS,,2,34
TXN_000310,CUST_03552,20047.85,NETBANKING,SUCCESS,,1,45
TXN_000311,CUST_03767,13762.19,UPI,SUCCESS,,2,14
TXN_000312,CUST_03568,1874.54,UPI,SUCCESS,,1,5
TXN_000313,CUST_04275,15183.53,NETBANKING,SUCCESS,,2,38
TXN_000314,CUST_04409,23036.48,WALLET,SUCCESS,,2,10
TXN_000315,CUST_03809,1738.55,WALLET,SUCCESS,,1,12
TXN_000316,CUST_04854,20537.1,NETBANKING,SUCCESS,,2,38
TXN_000317,CUST_02641,5019.37,UPI,SUCCESS,,1,43
TXN_000318,CUST_00710,6940.2,NETBANKING,SUCCESS,,2,36
TXN_000319,CUST_03693,3816.21,UPI,SUCCESS,,2,2
TXN_000320,CUST_03807,14793.13,WALLET,FAILED,NETWORK_ERROR,1,0
TXN_000321,CUST_02756,13879.71,CARD,SUCCESS,,1,26
TXN_000322,CUST_04050,33358.6,NETBANKING,SUCCESS,,1,26
TXN_000323,CUST_01490,6487.84,WALLET,SUCCESS,,2,37
TXN_000324,CUST_01738,8929.5,NETBANKING,SUCCESS,,2,6
TXN_000325,CUST_02117,8761.36,NETBANKING,SUCCESS,,1,17
TXN_000326,CUST_02291,4975.71,NETBANKING,SUCCESS,,1,16
TXN_000327,CUST_04554,396.69,CARD,SUCCESS,,1,5
TXN_000328,CUST_04233,4683.44,UPI,SUCCESS,,1,38
TXN_000329,CUST_00702,6214.73,UPI,SUCCESS,,2,14
TXN_000330,CUST_03330,14029.69,WALLET,SUCCESS,,1,39
TXN_000331,CUST_04549,2549.02,UPI,SUCCESS,,1,50
TXN_000332,CUST_03901,5752.61,WALLET,SUCCESS,,1,3
TXN_000333,CUST_03672,22551.28,CARD,SUCCESS,,2,45
TXN_000334,CUST_00763,2775.58,NETBANKING,FAILED,CARD_EXPIRED,1,51
TXN_000335,CUST_01816,24753.0,WALLET,SUCCESS,,2,16
TXN_000336,CUST_01994,27951.86,NETBANKING,FAILED,BANK_TIMEOUT,1,26
TXN_000337,CUST_04765,573.77,NETBANKING,SUCCESS,,1,57
TXN_000338,CUST_03877,20166.63,NETBANKING,SUCCESS,,1,10
TXN_000339,CUST_03486,2096.46,NETBANKING,FAILED,BANK_TIMEOUT,1,35
TXN_000340,CUST_02883,7980.05,WALLET,SUCCESS,,1,26
TXN_000341,CUST_02220,8500.34,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,33
TXN_000342,CUST_02060,12152.2,UPI,SUCCESS,,2,31
TXN_000343,CUST_00989,6916.64,UPI,SUCCESS,,2,30
TXN_000344,CUST_02585,12328.91,CARD,SUCCESS,,2,46
TXN_000345,CUST_04390,1411.17,UPI,SUCCESS,,1,55
TXN_000346,CUST_01570,13387.31,UPI,SUCCESS,,1,41
TXN_000347,CUST_03967,17025.05,NETBANKING,SUCCESS,,2,39
TXN_000348,CUST_04830,2193.21,NETBANKING,FAILED,NETWORK_ERROR,2,26
TXN_000349,CUST_00824,4820.22,UPI,FAILED,BANK_TIMEOUT,2,23
TXN_000350,CUST_02427,28035.73,UPI,SUCCESS,,2,58
TXN_000351,CUST_02957,23438.79,UPI,FAILED,BANK_TIMEOUT,1,49
TXN_000352,CUST_02477,2611.62,CARD,SUCCESS,,2,15
TXN_000353,CUST_04376,16056.67,UPI,FAILED,CARD_EXPIRED,1,49
TXN_000354,CUST_02248,10122.83,CARD,FAILED,FRAUD_SUSPECTED,1,22
TXN_000355,CUST_00447,421.87,NETBANKING,SUCCESS,,2,58
TXN_000356,CUST_01035,34321.97,WALLET,SUCCESS,,2,26
TXN_000357,CUST_00841,26508.03,CARD,SUCCESS,,1,26
TXN_000358,CUST_04703,7432.17,NETBANKING,SUCCESS,,1,53
TXN_000359,CUST_03846,27466.69,WALLET,FAILED,CARD_EXPIRED,1,50
TXN_000360,CUST_03609,6498.42,NETBANKING,SUCCESS,,1,43
