customer_id,account_age_days,successful_payments,failed_payments,average_transaction,lifetime_value,engagement_score
CUST_00048,1273,17,3,11907.63,140500.61,0.9
CUST_00049,1402,37,7,10876.15,483360.75,0.97
CUST_00050,220,33,3,7850.72,96264.6,0.34
CUST_00051,47,3,7,14052.99,468141.23,0.73
CUST_00052,1341,24,1,16877.24,179964.74,0.33
CUST_00053,814,2,1,21262.14,69174.04,0.74
CUST_00054,788,39,4,10668.59,128847.26,0.65
CUST_00055,65,7,0,20017.89,325332.0,0.73
CUST_00056,1001,16,5,22199.44,14780.77,0.62
CUST_00057,883,32,6,8405.37,78365.77,0.98
CUST_00058,599,22,1,1053.36,19636.75,0.84
CUST_00059,293,37,0,19318.84,108694.69,0.66
CUST_00060,906,4,5,5101.19,206265.6,0.73
CUST_00061,399,16,4,13052.62,162155.28,0.82
CUST_00062,1111,19,3,2237.87,13650.02,0.97
CUST_00063,1446,23,6,17305.95,30038.6,0.92
CUST_00064,1171,34,7,17950.52,330438.49,0.35
CUST_00065,733,16,4,13992.55,306248.65,0.48
CUST_00066,1488,12,1,19018.8,8182.35,0.2
CUST_00067,1038,5,6,7991.91,489775.75,0.26
CUST_00068,503,16,1,12442.91,237262.41,0.26
CUST_00069,52,30,4,1487.06,474623.72,0.9
CUST_00070,791,31,1,23355.88,251018.9,0.59
CUST_00071,821,4,7,23614.12,472181.55,0.88
CUST_00072,881,32,2,14514.21,194696.79,0.68
CUST_00073,720,33,4,20569.8,313343.9,0.84
CUST_00074,314,10,2,2013.22,51288.22,0.12
CUST_00075,878,35,6,16496.35,193312.91,0.71
CUST_00076,646,34,2,12552.13,346752.29,0.41
CUST_00077,1429,11,4,18456.25,401936.98,0.35
CUST_00078,486,10,4,14342.45,288386.36,0.76
CUST_00079,1038,36,1,19477.4,171060.97,0.94
CUST_00080,1422,37,3,17092.17,370214.47,0.31
CUST_00081,91,30,0,12565.06,195419.43,0.37
CUST_00082,425,19,0,23975.97,423724.43,0.42
CUST_00083,764,28,5,23780.0,287145.51,0.67
CUST_00084,425,5,2,8418.01,336586.71,0.78
CUST_00085,598,23,7,3102.58,465533.62,0.98
CUST_00086,663,14,6,11205.8,443964.39,0.42
CUST_00087,617,18,6,17294.34,418644.97,0.88
CUST_00088,1227,38,6,17613.94,37308.74,0.84
CUST_00089,58,2,4,2395.49,493333.15,0.44
CUST_00090,529,1,5,6146.12,453939.16,0.63
CUST_00091,1305,36,5,2362.47,388796.31,0.6
CUST_00092,68,27,1,11030.96,127587.4,0.46
CUST_00093,485,20,3,3202.9,324955.94,0.77
CUST_00094,219,13,3,10185.51,239379.73,0.17
CUST_00095,1170,33,5,24091.6,7065.08,0.97
CUST_00096,915,21,7,23138.69,459638.74,0.33
CUST_00097,1494,19,3,13220.52,315069.92,0.73
CUST_00098,1426,31,0,17514.05,192716.71,0.76
CUST_00099,1383,11,3,23775.16,445241.63,0.51
CUST_00100,1061,28,4,4491.09,323777.33,0.45
CUST_00101,898,28,3,24367.55,493119.16,0.73
CUST_00102,958,17,0,10456.81,301788.16,0.34
CUST_00103,1306,13,5,23531.14,208902.89,0.62
CUST_00104,39,25,1,23338.39,433165.88,0.14
CUST_00105,1118,33,5,12165.14,492657.74,0.44
CUST_00106,1270,26,6,24256.89,421217.34,0.85
CUST_00107,1152,34,0,3606.15,7822.31,0.17
CUST_00108,738,28,0,24993.03,498321.78,0.6
CUST_00109,706,37,4,18999.91,189547.42,0.32
CUST_00110,30,9,5,23865.06,303481.14,0.31
CUST_00111,1401,32,1,6936.21,12070.19,0.55
CUST_00112,1359,3,2,21348.88,276401.51,0.6
CUST_00113,430,30,2,3610.18,15362.56,0.78
CUST_00114,607,21,5,20184.6,451672.38,0.66
CUST_00115,1359,34,5,14870.97,196729.78,0.49
CUST_00116,278,34,3,12995.54,392042.85,0.46
CUST_00117,826,17,4,3932.71,463367.22,0.54
CUST_00118,98,20,7,24506.8,246816.43,0.4
CUST_00119,140,11,2,3483.33,64894.87,0.24
CUST_00120,929,16,7,4792.44,173487.97,0.91
CUST_00121,122,3,2,24335.83,301365.76,0.3
CUST_00122,633,21,4,8886.19,16870.54,0.59
CUST_00123,553,5,0,5396.44,182770.66,0.55
CUST_00124,823,27,0,20045.44,314322.29,0.17
CUST_00125,860,30,2,9618.96,2294.92,0.88
CUST_00126,1306,8,0,24660.55,268758.73,0.93
CUST_00127,57,14,1,9412.17,231804.82,0.77
CUST_00128,1365,14,2,3587.99,343895.59,0.86
CUST_00129,835,18,1,13455.65,121992.78,0.34
CUST_00130,743,37,3,14229.94,420514.28,0.18
CUST_00131,1265,25,0,12007.06,178197.05,0.68
CUST_00132,257,18,6,13566.53,293833.72,0.77
CUST_00133,454,19,1,8634.94,449924.05,0.65
CUST_00134,1430,6,4,6159.5,51789.45,0.24
CUST_00135,872,4,5,2470.82,403126.58,0.15
CUST_00136,928,9,6,13255.43,205788.02,0.98
CUST_00137,1375,31,5,14527.16,458780.41,0.1
CUST_00138,976,30,7,20575.28,359510.18,0.58
CUST_00139,202,26,2,19306.48,94334.83,0.39
CUST_00140,254,19,3,18485.31,265390.17,0.74
CUST_00141,168,14,7,23320.75,161000.45,0.63
CUST_00142,39,6,1,13850.5,274912.07,0.28
CUST_00143,350,2,3,3728.97,2352.74,0.21
CUST_00144,1472,15,7,8917.05,464835.04,0.85
CUST_00145,405,14,4,24775.96,103295.9,0.44
CUST_00146,1373,1,7,14489.49,421072.56,0.23
CUST_00147,827,37,5,20680.78,94016.09,0.31
CUST_00148,603,14,1,9163.11,438723.07,0.45
CUST_00149,645,8,6,9610.53,231877.21,0.37
CUST_00150,172,23,6,14563.91,178325.86,0.45
CUST_00151,850,2,5,22689.86,312494.76,0.21
CUST_00152,420,6,2,18344.56,347165.09,0.25
CUST_00153,507,29,0,22379.15,394510.01,0.24
CUST_00154,1026,33,4,19530.73,72420.86,0.28
CUST_00155,546,2,1,21956.11,171698.79,0.84
CUST_00156,257,31,6,11587.91,302374.98,0.55
CUST_00157,1210,8,4,5962.51,361404.03,0.75
CUST_00158,784,31,2,14268.06,358373.36,0.64
CUST_00159,1307,20,2,22738.73,292112.51,0.46
CUST_00160,392,26,5,4087.78,293528.69,0.56
CUST_00161,857,25,0,14946.18,52004.12,0.93
CUST_00162,156,5,7,4067.71,288567.89,0.65
CUST_00163,1349,29,5,21058.86,455432.41,0.21
CUST_00164,1399,37,4,21020.78,63206.68,0.93
CUST_00165,1484,15,4,1652.61,168263.42,0.82
CUST_00166,604,26,0,10538.26,431895.55,0.93
CUST_00167,504,7,1,18516.28,226656.75,0.3
CUST_00168,1233,24,0,10647.46,457508.1,0.43
CUST_00169,185,22,1,5553.22,258071.67,0.98
CUST_00170,371,20,5,2408.14,498440.25,0.55
CUST_00171,1194,1,7,10113.76,213967.66,0.82
CUST_00172,314,32,5,15736.91,189485.25,0.85
CUST_00173,798,19,1,19455.53,227191.13,0.57
CUST_00174,143,28,0,12576.2,382912.78,0.19
CUST_00175,84,8,4,23669.05,187281.35,0.34
CUST_00176,116,34,3,24479.61,420054.64,0.88
CUST_00177,342,8,0,5782.71,116306.32,0.7
CUST_00178,790,8,5,20057.93,90093.79,0.69
CUST_00179,125,8,1,24721.6,301995.5,0.83
CUST_00180,194,16,3,3784.72,203789.76,0.39
CUST_00181,359,18,6,2412.06,104735.24,0.12
CUST_00182,1338,19,3,10709.19,446443.18,0.84
CUST_00183,775,20,2,20680.15,182166.55,0.13
CUST_00184,834,20,4,10412.47,276471.54,0.49
CUST_00185,883,35,3,19560.04,58004.73,0.61
CUST_00186,765,23,7,10802.77,12212.18,0.34
CUST_00187,1334,2,4,6669.83,70538.68,0.85
CUST_00188,471,4,1,22544.14,345919.71,0.71
CUST_00189,157,6,1,3208.45,288681.72,0.35
CUST_00190,1206,17,4,12587.38,360381.09,0.2
CUST_00191,56,22,4,22530.46,437071.15,0.64
CUST_00192,850,12,4,4631.67,457291.56,0.48
CUST_00193,663,28,5,10724.29,177581.82,0.96
CUST_00194,722,1,2,15197.86,123429.21,0.45
CUST_00195,705,11,7,18060.43,149263.74,0.61
CUST_00196,652,34,6,23865.95,68365.64,0.54
CUST_00197,1201,36,6,4301.74,420923.3,0.86
CUST_00198,183,34,0,12013.66,172847.48,0.42
CUST_00199,90,1,0,17303.54,217978.84,0.32
CUST_00200,1282,3,1,357.78,483881.99,0.1
CUST_00201,1097,12,2,20243.53,481087.29,0.81
CUST_00202,245,12,5,19032.29,319835.74,0.78
CUST_00203,1005,37,5,21275.13,125584.34,0.54
CUST_00204,518,15,2,23618.27,20673.98,0.74
CUST_00205,1010,7,0,11988.29,157114.57,0.21
CUST_00206,912,7,0,23132.59,485558.06,0.95
CUST_00207,1019,18,6,1655.6,228116.7,0.57
CUST_00208,1212,39,0,9308.02,280777.92,0.53
CUST_00209,1224,3,4,8694.91,362658.62,0.16
CUST_00210,526,15,7,13598.52,331165.93,0.76
CUST_00211,522,33,7,15511.82,117246.78,0.12
CUST_00212,280,34,5,21905.13,264939.63,0.95
CUST_00213,1092,35,2,534.29,27289.23,0.18
CUST_00214,1292,16,7,10137.7,46757.97,0.4
CUST_00215,606,20,4,6197.8,56126.58,0.42
CUST_00216,353,30,1,17974.17,294965.16,0.35
CUST_00217,428,15,0,9792.87,340143.99,0.3
CUST_00218,968,37,4,14837.29,491182.93,0.9
CUST_00219,1115,24,2,15451.26,84349.94,0.99
CUST_00220,1363,8,3,15311.1,256831.57,0.31
CUST_00221,247,34,0,1207.28,478677.86,0.84
CUST_00222,83,5,4,24236.83,442009.16,0.93
CUST_00223,879,35,1,17491.71,77794.06,0.83
CUST_00224,1173,38,4,18772.43,18397.71,0.91
CUST_00225,1320,37,1,21973.28,133534.42,0.22
CUST_00226,950,9,2,21349.18,18675.76,0.4
CUST_00227,1448,25,4,2448.57,204818.15,0.44
CUST_00228,1229,8,2,12548.13,41442.06,0.3
CUST_00229,1002,13,3,21324.81,248078.12,0.53
CUST_00230,727,29,2,14411.58,331393.89,0.59
CUST_00231,1342,13,4,22002.16,398915.58,0.69
CUST_00232,845,33,2,17796.57,418669.65,0.73
CUST_00233,451,36,6,4973.77,440936.93,0.97
CUST_00234,455,31,6,3483.09,168224.31,0.77
CUST_00235,385,31,1,14037.69,378561.27,0.33
CUST_00236,1099,2,7,8362.91,280362.31,0.2
CUST_00237,477,34,3,13637.64,390142.85,0.2
CUST_00238,615,30,6,10976.35,420220.63,0.45
CUST_00239,66,15,5,2831.99,468677.02,0.72
CUST_00240,221,4,2,17791.85,34607.95,0.62
CUST_00241,503,1,5,2144.95,426354.91,0.99
CUST_00242,792,29,3,3513.13,379373.33,0.12
CUST_00243,908,11,0,12369.49,385433.3,0.71
CUST_00244,1483,26,1,11872.92,472207.51,0.19
CUST_00245,916,39,6,20700.24,149888.84,0.86
CUST_00246,1075,14,3,3543.98,434159.11,0.97
CUST_00247,50,28,4,22765.26,428822.69,0.97
CUST_00248,1440,19,0,8005.21,161050.63,0.75
CUST_00249,1216,34,4,1069.01,326181.75,0.43
CUST_00250,237,15,3,13717.85,80463.62,0.28
CUST_00251,549,29,4,19341.77,422546.83,0.78
CUST_00252,989,3,4,7565.95,456006.18,0.97
CUST_00253,556,20,5,12193.6,59536.79,0.21
CUST_00254,550,20,3,5252.96,246305.68,0.16
CUST_00255,613,2,7,7965.94,228154.85,0.11
CUST_00256,1373,18,5,10069.96,487375.23,0.75
CUST_00257,758,11,4,21545.02,390145.64,0.14
CUST_00258,1141,22,2,3904.28,52293.41,0.61
CUST_00259,1363,15,7,15568.45,351530.02,0.6
CUST_00260,31,32,1,13495.78,441384.21,0.17
CUST_00261,947,13,3,8255.74,488755.73,0.28
CUST_00262,135,15,1,4436.82,53179.35,0.67
CUST_00263,38,3,2,23424.44,26933.67,0.59
CUST_00264,1371,12,7,19650.54,306516.73,0.54
CUST_00265,237,11,3,13825.53,408831.59,0.51
CUST_00266,838,3,6,4350.79,219865.0,0.75
CUST_00267,938,12,6,12138.19,308255.27,0.4
CUST_00268,338,36,4,16570.08,249599.66,0.6
CUST_00269,691,18,2,8508.17,271696.84,0.54
CUST_00270,784,28,1,17101.64,37027.01,0.13
CUST_00271,1385,33,6,4602.58,480429.5,0.47
CUST_00272,834,24,3,8844.59,186148.34,0.99
CUST_00273,976,24,1,14593.28,219869.09,0.75
CUST_00274,364,36,1,22547.34,211438.74,0.35
CUST_00275,1290,12,2,11805.58,418163.03,0.31
CUST_00276,129,26,7,22753.1,90661.87,0.31
CUST_00277,404,14,1,10501.87,35497.26,0.49
CUST_00278,260,14,7,9173.06,296882.47,0.25
CUST_00279,57,25,0,6675.9,328711.6,0.39
CUST_00280,330,12,7,6154.59,118102.35,0.9
CUST_00281,873,14,7,20773.42,216012.87,0.32
CUST_00282,342,12,0,4425.94,84641.99,0.13
CUST_00283,1257,37,6,12023.38,422241.05,0.83
CUST_00284,649,28,6,13635.67,18059.7,0.99
CUST_00285,1346,9,6,23434.16,20632.43,0.21
CUST_00286,1112,6,4,8109.06,254110.17,0.14
CUST_00287,271,20,4,24138.43,3465.05,0.96
CUST_00288,1092,29,0,11532.07,258282.42,0.54
CUST_00289,180,38,3,1040.35,154657.04,0.73
CUST_00290,1394,8,1,2619.35,336628.46,0.5
CUST_00291,115,5,6,6606.07,331154.54,0.98
CUST_00292,143,10,5,6330.44,415607.72,0.88
CUST_00293,374,12,2,17331.31,338580.18,0.29
CUST_00294,1106,16,5,16774.2,289015.43,0.41
CUST_00295,733,2,1,1490.84,488609.92,0.47
CUST_00296,618,13,0,7430.53,55445.71,0.69
CUST_00297,48,38,5,20253.79,381380.28,0.82
CUST_00298,1384,19,4,9579.1,149137.77,0.68
CUST_00299,1118,21,6,9351.6,198690.17,0.73
CUST_00300,1470,29,0,6167.34,187252.64,0.3
CUST_00301,896,26,2,4460.58,321645.41,0.78
CUST_00302,114,9,2,21624.34,260021.81,0.53
CUST_00303,694,29,1,9690.83,200012.57,0.62
CUST_00304,72,36,6,19192.62,406679.88,0.75
CUST_00305,648,21,6,486.8,324089.88,0.91
CUST_00306,744,25,3,9687.84,99379.91,0.53
CUST_00307,1387,19,1,12301.03,129131.51,0.36
CUST_00308,780,27,4,13446.83,290885.09,0.18
CUST_00309,31,30,1,7033.81,207361.0,0.21
CUST_00310,1404,11,6,21527.57,400090.77,0.27
CUST_00311,1438,36,3,9525.69,263723.1,0.2
CUST_00312,1171,13,6,13024.83,297175.75,0.81
CUST_00313,1013,15,1,10452.4,420090.79,0.91
CUST_00314,1207,16,0,6614.43,151728.19,0.76
CUST_00315,1220,36,3,16788.48,48672.12,0.66
CUST_00316,271,33,6,4078.7,118382.56,0.88
CUST_00317,690,33,6,2664.15,12795.65,0.68
CUST_00318,1213,28,6,16057.63,129185.04,0.67
CUST_00319,1373,25,1,3670.06,347877.13,0.46
CUST_00320,488,39,0,24784.02,65068.75,0.19
CUST_00321,583,26,5,22666.46,386538.74,0.34
CUST_00322,102,37,0,8287.28,114101.54,0.42
CUST_00323,590,4,4,20847.02,335131.71,0.16
CUST_00324,805,32,4,22037.95,325787.81,0.58
CUST_00325,1183,3,5,24855.24,331257.76,0.6
CUST_00326,145,34,6,1785.52,281586.11,0.96
CUST_00327,316,13,4,18944.49,86068.49,0.47
CUST_00328,84,30,0,18977.23,174438.19,0.7
CUST_00329,266,20,2,3259.78,487108.15,0.12
CUST_00330,1301,20,7,13636.94,421174.61,0.57
CUST_00331,1007,6,5,19761.18,432478.41,0.65
CUST_00332,767,12,5,1858.79,59706.87,0.3
CUST_00333,370,2,0,8854.15,120288.61,0.56
CUST_00334,1460,3,3,23576.96,436794.99,0.25
CUST_00335,172,22,2,24806.3,425861.05,0.29
CUST_00336,1482,38,1,9701.4,439109.19,0.88
CUST_00337,1060,6,2,7825.57,41378.72,0.46
CUST_00338,159,2,2,5823.28,478704.12,0.62
CUST_00339,822,10,0,12140.05,157550.12,0.65
CUST_00340,365,1,5,19190.8,88244.48,0.55
CUST_00341,1170,6,0,3307.52,239638.78,0.56
CUST_00342,1226,15,3,13873.38,482945.26,0.49
CUST_00343,875,13,6,21939.8,139598.56,0.87
CUST_00344,72,32,4,15603.82,325450.35,0.24
CUST_00345,807,5,2,5530.36,242816.19,0.78
CUST_00346,486,31,7,10929.33,86161.71,0.17
CUST_00347,912,28,5,4690.83,346117.41,0.66
CUST_00348,814,4,6,6046.34,111180.51,0.26
CUST_00349,451,36,3,10824.26,66224.48,0.9
CUST_00350,184,35,6,10529.0,413941.41,0.76
CUST_00351,539,22,4,6439.93,67768.06,0.48
CUST_00352,690,38,6,19079.16,69417.74,0.58
CUST_00353,242,1,4,20907.29,315020.1,0.28
CUST_00354,701,37,4,12349.99,55758.36,0.59
CUST_00355,212,21,3,3986.17,64472.68,0.88
CUST_00356,1280,18,7,9584.44,197843.66,0.51
CUST_00357,426,21,1,3588.68,51972.62,0.69
CUST_00358,601,1,1,2187.5,140404.49,0.94
CUST_00359,744,21,3,12537.67,193788.11,0.51
CUST_00360,985,15,0,11430.31,441347.26,0.2
CUST_00361,130,1,6,1481.42,19972.9,0.77
CUST_00362,1488,1,4,2060.04,7042.13,0.96
CUST_00363,395,21,7,24792.23,485404.23,0.95
CUST_00364,471,28,2,2730.37,330491.06,0.79
CUST_00365,1021,10,5,13012.04,449551.51,0.8
CUST_00366,991,25,0,16783.55,6203.42,0.33
CUST_00367,198,4,5,24007.71,239649.39,0.91
CUST_00368,681,10,4,12016.1,57864.36,0.54
CUST_00369,1341,32,6,15527.54,79162.58,0.14
CUST_00370,1455,17,7,5848.01,186711.34,0.49
CUST_00371,819,25,1,7062.65,464230.45,0.71
CUST_00372,151,21,2,20453.89,430823.63,0.86
CUST_00373,1450,18,4,5760.27,489220.24,0.77
CUST_00374,265,7,6,1630.3,160709.86,0.78
CUST_00375,889,25,5,1366.39,83242.59,0.22
CUST_00376,312,15,3,24138.7,244708.67,0.24
CUST_00377,450,13,5,14881.59,254671.91,0.37
CUST_00378,442,19,6,2615.8,289009.22,0.89
CUST_00379,165,37,6,11700.47,5656.48,0.32
CUST_00380,478,5,2,7164.18,97782.98,0.89
CUST_00381,502,34,2,14010.6,366802.58,0.65
CUST_00382,966,27,1,9568.92,269809.14,0.57
CUST_00383,595,26,1,20867.21,6504.78,0.77
CUST_00384,1044,20,2,11916.88,251523.06,0.21
CUST_00385,565,4,3,5665.06,69773.63,0.7
CUST_00386,231,39,4,15603.86,178391.01,0.81
CUST_00387,1172,20,0,21894.28,255544.75,0.75
CUST_00388,727,37,7,14168.67,280769.39,0.64
CUST_00389,623,34,5,15173.0,12443.47,0.39
CUST_00390,693,19,5,8555.69,392663.59,0.74
CUST_00391,48,31,3,11172.92,74578.81,0.4
CUST_00392,860,33,1,5749.12,299514.42,0.76
CUST_00393,1049,11,0,7696.25,87566.56,0.67
CUST_00394,1100,20,7,3222.9,205542.54,0.86
CUST_00395,166,11,6,23772.72,102265.25,0.61
CUST_00396,1002,10,1,17596.22,293319.26,0.63
CUST_00397,592,6,0,23534.78,130389.08,0.49
CUST_00398,78,5,4,11048.96,468739.29,0.74
CUST_00399,667,26,3,18280.1,248734.12,0.49
CUST_00400,838,36,5,4225.03,305502.35,0.22
CUST_00401,1014,31,3,23928.38,35410.05,0.15
CUST_00402,1273,30,5,7110.28,138530.56,0.81
CUST_00403,1453,10,7,19057.14,225420.18,0.8
CUST_00404,1281,9,4,1130.26,32263.95,0.92
CUST_00405,719,21,3,10454.06,174324.32,0.91
CUST_00406,1256,18,7,24095.84,280523.92,0.94
CUST_00407,925,26,3,15723.31,247746.08,0.98
CUST_00408,1013,5,2,8655.1,155040.67,0.95
CUST_00409,474,12,0,3118.17,76472.17,0.3
CUST_00410,1044,7,5,13764.11,490277.89,0.3
CUST_00411,72,28,1,1971.41,354209.71,0.59
CUST_00412,227,6,5,21218.89,214886.64,0.23
CUST_00413,1110,22,7,16824.85,231685.48,0.47
CUST_00414,617,39,5,1838.15,256738.82,0.83
CUST_00415,272,10,2,19721.07,101480.53,0.33
CUST_00416,412,20,1,19033.1,377299.73,0.12
CUST_00417,657,21,6,21803.29,120159.31,0.51
CUST_00418,910,28,1,971.04,33537.09,0.52
CUST_00419,1150,8,3,9950.99,399373.75,0.43
CUST_00420,408,23,0,9696.37,388030.31,0.97
CUST_00421,37,12,1,7392.31,396634.36,0.62
CUST_00422,596,21,7,16174.06,98724.57,0.91
CUST_00423,857,18,1,17488.71,396837.41,0.39
CUST_00424,288,3,4,22460.5,85258.25,0.56
CUST_00425,1044,28,0,4850.35,447100.87,0.69
CUST_00426,1019,37,3,15497.86,42648.58,0.89
CUST_00427,843,12,2,8195.77,494219.58,0.54
CUST_00428,298,21,5,8278.38,498542.0,0.98
CUST_00429,160,27,4,13326.77,359957.46,0.9
CUST_00430,730,5,2,8619.96,148948.4,0.93
CUST_00431,1430,6,2,11937.85,410996.81,0.51
CUST_00432,1279,21,7,20535.6,440031.14,0.57
CUST_00433,1271,21,3,2785.75,120697.18,0.23
CUST_00434,1128,18,1,16383.35,310843.36,0.42
CUST_00435,891,5,3,24483.89,317436.93,0.21
CUST_00436,1119,16,1,8078.51,2904.75,0.71
CUST_00437,153,6,0,24796.04,37262.76,0.17
CUST_00438,471,3,3,12962.57,153350.03,0.29
CUST_00439,978,35,0,16433.12,469214.1,0.88
CUST_00440,874,39,0,22501.53,325733.51,0.89
CUST_00441,1496,27,6,3041.44,224080.72,0.51
CUST_00442,869,36,4,3482.56,206967.8,0.82
CUST_00443,310,20,0,10709.67,14560.33,0.97
CUST_00444,112,22,7,24327.58,413193.49,0.73
CUST_00445,202,28,3,24081.42,363608.83,0.37
CUST_00446,1041,19,6,3080.74,352139.3,0.59
CUST_00447,294,17,5,606.38,234915.21,0.37
CUST_00448,1030,11,4,7708.0,371853.41,0.14
CUST_00449,543,4,3,16794.78,297017.56,0.9
CUST_00450,1115,16,4,19926.08,18300.46,0.62
CUST_00451,690,21,6,1871.93,415855.38,0.64
CUST_00452,1254,33,4,22767.78,334930.93,0.85
CUST_00453,1118,24,7,921.01,347530.78,0.17
CUST_00454,588,12,5,3696.84,171067.03,0.25
CUST_00455,562,22,7,15893.3,296256.88,0.73
CUST_00456,377,4,6,2874.35,192871.15,0.54
CUST_00457,223,22,3,7007.75,236975.67,0.99
CUST_00458,1315,8,6,22319.56,2457.6,0.14
CUST_00459,312,6,1,3758.6,139130.34,0.97
CUST_00460,782,29,4,15676.24,235402.14,0.5
CUST_00461,682,20,7,13564.08,427213.86,0.14
CUST_00462,433,8,2,2968.24,170091.46,0.82
CUST_00463,846,9,7,15541.54,57805.36,0.41
CUST_00464,1094,39,6,1032.81,338034.68,0.14
CUST_00465,156,11,4,7085.87,197893.46,0.48
CUST_00466,485,12,7,16872.29,129828.45,0.71
CUST_00467,631,33,4,23889.99,410777.94,0.1
CUST_00468,1396,27,5,18024.03,414964.19,0.14
CUST_00469,1377,20,1,9780.82,228662.02,0.43
CUST_00470,441,19,6,13874.72,450260.31,0.46
CUST_00471,988,15,0,16258.58,323578.59,0.9
CUST_00472,939,13,1,16011.57,456730.19,0.65
CUST_00473,1137,28,2,16055.56,370749.64,0.58
CUST_00474,1403,3,7,3810.79,6841.6,0.48
CUST_00475,1364,35,2,14556.84,22825.8,0.21
CUST_00476,1332,31,0,20473.06,34624.89,0.45
CUST_00477,640,18,3,2217.08,271724.65,0.88
CUST_00478,1417,30,3,20019.99,411388.76,0.87
CUST_00479,1116,15,0,2742.18,444936.36,0.11
CUST_00480,708,36,3,12938.53,83648.55,0.68
CUST_00481,862,37,7,8843.17,78075.41,0.12
CUST_00482,1472,18,3,8712.92,36784.23,0.47
CUST_00483,354,38,7,13417.81,421019.96,0.62
CUST_00484,1084,38,0,17300.37,71135.93,0.54
CUST_00485,104,24,2,3653.99,50551.8,0.29
CUST_00486,291,27,1,18978.48,229802.98,0.36
CUST_00487,154,37,1,9448.81,188026.98,0.53
CUST_00488,815,6,3,20719.67,492022.57,0.36
CUST_00489,1037,17,4,19406.41,490074.39,0.53
CUST_00490,394,13,1,19118.97,416991.33,0.5
CUST_00491,1162,34,7,5107.21,29766.14,0.41
CUST_00492,168,21,3,14075.41,174291.24,0.62
CUST_00493,512,24,4,4017.88,408561.71,0.29
CUST_00494,133,17,2,8347.83,396468.17,0.52
CUST_00495,549,39,4,1274.65,238297.47,0.59
CUST_00496,93,19,6,14947.46,299961.17,0.42
CUST_00497,424,12,5,13868.27,29812.78,0.71
CUST_00498,912,12,5,11728.09,490512.7,0.54
CUST_00499,1052,32,5,7770.45,246217.67,0.57
CUST_00500,428,24,6,15262.16,459448.62,0.43
CUST_00501,1003,17,2,11562.69,222284.46,0.64
CUST_00502,394,4,6,12069.14,498065.35,0.15
CUST_00503,910,17,0,7671.34,120950.81,0.38
CUST_00504,866,3,2,12907.68,313669.66,0.93
CUST_00505,509,16,1,23252.66,16244.18,0.88
CUST_00506,349,10,1,7695.07,179999.05,0.82
CUST_00507,725,24,2,13355.88,396903.61,0.99
CUST_00508,142,8,1,2518.36,2156.46,0.14
CUST_00509,30,36,0,2005.03,3827.24,0.94
